parent_company,lens_id,date_published,title,applicants,climate_codes,abstract
Alphabet,196-789-617-969-575,2025-12-02,클록 게이트 트리,GOOGLE LLC,Y02D10/00,본 문서에서는 클록 전력을 절약하기 위해 클록 게이트 트리를 구현하는 시스템 및 기법을 설명한다. 루트 레벨 클록 게이트는 데이터 구조에서 액세스될 데이터 라인과 연관된 클록 신호를 수신한다. 라인 레벨 클록 게이트는 데이터 구조에서 액세스될 데이터 라인과 연관된다. 클록 게이트 트리는 다수의 클록 게이트를 포함한다. 클록 게이트 트리는 루트 레벨 클록 게이트로부터 클록 신호를 수신하고 클록 게이트 트리에 있는 여러 클록 게이트 중 일부를 활성화하여 클록 신호를 라인 레벨 클록 게이트로 통신한다. 클록 게이트 트리에 있는 복수의 클록 게이트 중 일부는 액세스될 데이터 라인을 활성화하는 라인 레벨 클록 게이트에 기초하여 활성화된다.
Alphabet,110-220-356-437-872,2025-11-28,经由居家助手进行活动监视的系统、方法和设备,GOOGLE INC,Y02B20/40,本申请涉及经由居家助手进行活动监视的系统、方法和设备，包括用于监视居家环境中的活动的方法、设备、和系统。在一个方面中，在语音助手设备处执行的一种方法包括：（1）当在助手模式下操作时，接收在监视模式下操作的居住者语音命令；（2）响应于所述命令，转变到在所述监视模式下操作；（3）获得一个或者多个监视准则；（4）当在所述监视模式下操作时，检测声音；（5）获得有关所述声音是否满足所述一个或者多个监视准则的确定；以及（6）根据所述声音满足所述一个或者多个监视准则的确定：（a）获得所述声音的类别；以及（b）基于声音具有第一声音类别，经由所述一个或者多个扬声器发出多个模拟居住者响应中的第一模拟居住者响应。
Alphabet,189-615-558-951-506,2025-11-28,载具控制方法、系统和计算机可读介质,WAYMO LLC,Y02A90/10,公开了根据本发明的各方面的载具控制方法、系统和计算机可读介质。该方法包括：在耦合到载具的计算设备处，从耦合到载具的雷达单元接收表示载具环境的雷达数据；由计算设备基于雷达数据确定雷达表示；执行雷达表示的能量水平与基线能量水平之间的比较，其中，所述基线能量水平与晴朗天气状况相关联；基于所述比较，确定是否调整载具的速度；以及基于确定是否调整载具的速度来控制载具。
Alphabet,125-063-731-415-703,2025-11-26,UAV-GRUPPENABRECHNUNG AUF DER GRUNDLAGE DER NACHFRAGE NACH UAV-DIENSTLEISTUNGEN,WING AVIATION LLC,Y02P90/60; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T90/167; Y04S30/14,
Alphabet,030-715-455-148-042,2025-11-25,Automatic routing through electric vehicle charging stations,GOOGLE LLC,Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16,"To navigate an electric vehicle from a starting location to a destination, a system identifies multiple charging stations between the starting location and the destination and determining a navigation route that requires a least amount of time for the electric vehicle to travel from the starting location to the destination via one or more of the charging stations, including determining a non-linear relationship between an amount of time and an amount of charge the EV receives during the amount o"
Alphabet,102-469-383-115-194,2025-11-19,STEUERUNG EINES HLK-SYSTEMS IN VERBINDUNG MIT EINEM NACHFRAGEREAKTIONSEREIGNIS,GOOGLE LLC,Y02B70/3225; Y04S20/222,
Alphabet,003-999-790-784-407,2025-11-19,ADAPTIVES WI-FI-BAKEN-ÜBERSPRINGEN FÜR BATTERIEBETRIEBENE VORRICHTUNGEN,GOOGLE LLC,Y02D30/70,"A Wi-Fi chip is configured to operate in a power saving Wi-Fi mode in which the Wi-Fi chip repeatedly checks, at a first time interval, periodic DTIM beacons transmitted at a second time interval by a wireless access point of a Wi-Fi network, wherein the first time interval is longer than the second time interval. Upon receiving a standby message, the Wi-Fi chip, during a predefined time duration, operates in a standby mode in which the Wi-Fi chip checks at a third time interval periodic DTIM be"
Alphabet,078-668-067-823-627,2025-11-16,Adaptive power management for AI/ML accelerators,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing dynamic voltage and/or frequency scaling. One of the methods includes obtaining an input data item; processing the input data item using a data processing pipeline executed on the computing device to generate an output data item, wherein processing the input data item comprises: executing a sequence of one or more pre-processing operations of the data processing pipeline on the input da"
Alphabet,000-903-992-405-526,2025-11-13,SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus for a computing device that includes a multi-context processing system that includes multiple processing blocks, in which each processing block is configured to continually process data received from multiple different contexts using buffers, in which each buffer is stored in an associated memory subsystem. The system includes a data processing apparatus configured to execute instructions to perform operations for implementing multiple page managers to manage the "
Alphabet,173-244-451-947-725,2025-11-11,Method of temperature conditioning compute module for cold start,WAYMO LLC,Y02D10/00,"Example embodiments relate to methods of increasing a temperature of a computer module to start the computer at environmental temperatures below a threshold temperature. An example embodiment includes receiving, at one or more computing components thermally coupled to a main computer via a liquid-cooled plate, a set of program instructions. The method can also include running the set of program instructions on at least one computing component. Running the set of program instructions on the compu"
Alphabet,016-682-255-676-814,2025-11-11,Data center balance of plant integrated into fuel cell system design,GOOGLE LLC,Y02B90/10; Y02E60/50,"An energy system may include data center computer equipment, a data center power system configured to simultaneously provide power for operation of the data center equipment and power for cooling the data center equipment, fuel cells configured to provide power to the data center power system, an on-site battery storage configured to provide backup power and power conditioning to the fuel cells, an on-site hydrogen storage to provide fuel to the fuel cells, and an excess heat recovery connection"
Alphabet,055-123-312-852-903,2025-11-07,Enhanced handover procedure for supporting network energy savings,GOOGLE INC,Y02D30/70; Y02D30/70,"A user equipment receives (509) a measurement configuration for a candidate cell from a radio access network (RAN) in a serving cell. After reception of the measurement configuration and when the measurement configuration is deactivated, the UE receives (520) an indication of an inactive period in the serving cell. In response to the indication of the inactive period, the UE activates (535A) a measurement configuration for the candidate cell."
Alphabet,147-665-006-321-997,2025-11-06,SKIPPING IDLE-MODE DRX IN RELATION TO NTN CELLULAR COMMUNICATION,GOOGLE LLC,Y02D30/70,A method and system for a user equipment device (UE) to help limit or avoid its operation with Idle-mode discontinuous (Idle-mode DRX) service when the UE is engaged in non-terrestrial-network (NTN) cellular communication service. The UE is configured to operate with Idle-mode DRX service for as long as the UE operates in a Radio Resource Configuration (RRC) Idle mode when the UE is engaged in terrestrial cellular communication service. When the UE transitions from an RRC Connected mode to the R
Alphabet,084-256-864-465-611,2025-11-04,Managing a ue preferred configuration,GOOGLE LLC,Y02D30/70; Y02D30/70,"To manage a preferred configuration indicative of a maximum allocation preferred by the UE for at least one resource, a UE transmits (802A) the preferred configuration to a RAN, transitions (804A) to a state in which a radio connection between the UE and the RAN is suspended, and releases (806A) the preferred configuration, prior to communicating data over the radio connection."
Alphabet,048-401-639-628-368,2025-11-01,Compression-loaded assembly for applying compression force on package,GOOGLE LLC,Y02P70/50,
Alphabet,184-867-215-870-914,2025-10-30,MESH NETWORK ADDRESSING,GOOGLE LLC,Y02D30/70,
Alphabet,010-497-182-986-463,2025-10-29,NAVIGATIONSABFRAGEN,GOOGLE LLC,Y02D10/00; Y02D10/00,"A computer-implemented method executed on data processing hardware of a user device that causes the data processing hardware to perform operations comprising: receiving a voice input from a user associated with the user device, the voice input comprising a control term and one or more other terms; before performing any speech-to-text conversion on the received voice input to convert the one or more other terms in the received voice input into text, identifying that the voice input comprises the "
Alphabet,135-577-798-491-525,2025-10-29,THERMOSTATSTEUERUNG MIT BERÜHRUNGSSENSOR GESTEBASIERTER EINGANG,GOOGLE LLC,Y02D10/00,
Alphabet,003-719-344-039-483,2025-10-24,用于管理非地面网络中用户设备可达性的方法,GOOGLE INC,Y02D30/70,与非地面网络(NTN)节点进行通信的用户设备(UE)可以实现一种用于管理来自核心网络(CN)对UE的寻呼的方法。该方法包括：(i)在该UE处从该CN接收包括与可达性相关联的NTN时间信息的下行链路消息；(ii)在该UE处基于该NTN时间信息启动具有持续时间的定时器；以及(iii)在该UE处，在该定时器运行时暂停监视对该UE的寻呼。
Alphabet,082-218-848-341-483,2025-10-23,Vehicle Battery Capacity Measurement Using Autonomous Discharge,WING AVIATION LLC,Y02E60/10,"A method includes charging a battery of a vehicle to a charge threshold voltage. The method also includes discharging the battery from the charge threshold voltage to a post-task voltage by performing a travel task using the vehicle. The method additionally includes determining that a battery calibration condition has been met. The method further includes, based on determining that the battery calibration condition has been met, discharging the battery from the post-task voltage to a discharge t"
Alphabet,179-235-489-970-65X,2025-10-23,METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK,GOOGLE LLC,Y02D30/70,"A user equipment (UE) communicating with a non-terrestrial network (NTN) node can implement a method for managing paging for the UE from a core network (CN). The method includes: (i) receiving, from the CN and at the UE, a downlink message including NTN time information associated with reachability; (ii) starting, at the UE, a timer with a time duration based on the NTN time information; and (iii) suspending, at the UE, monitoring paging for the UE while the timer is running."
Alphabet,167-048-069-446-705,2025-10-22,TERMINALBEREICHSNAVIGATION UND STEUERUNG VON UAVS FÜR PAKETABLIEFERUNGSSYSTEM,WING AVIATION LLC,Y02T10/70,A technique for controlling unmanned aerial vehicles (UAVs) operating in proximity to a terminal area from which the UAVs are staged includes charging a plurality of the UAVs on charging pads disposed in a staging array at the terminal area. Merchant facilities for preparing packages for delivery by the UAVs are disposed about a periphery of the staging array. The UAVs are relocated under their own propulsion from interior charging pads to peripheral loading pads of the staging array as the peri
Alphabet,006-939-975-441-034,2025-10-16,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING DISTANCE THRESHOLDS,GOOGLE LLC,Y02D30/70,"While at a first location, a user equipment (UE) connected to a core network via a non-terrestrial network (NTN) receives a distance threshold, before the UE enters a power saving mode, PSM. While in the PSM, the UE initiates the procedure for reporting a current UE location information when a current UE location has exceeded the distance threshold relative to the first location."
Alphabet,073-028-610-303-571,2025-10-16,ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing dynamic voltage and/or frequency scaling. One of the methods includes obtaining an input data item; processing the input data item using a data processing pipeline executed on the computing device to generate an output data item, wherein processing the input data item comprises: executing a sequence of one or more pre-processing operations of the data processing pipeline on the input da"
Alphabet,182-553-320-432-276,2025-10-15,EINSTELLEN DER SENDELEISTUNG BASIEREND AUF BERÜHRUNGSNACHWEIS,GOOGLE LLC,Y02D30/70,
Alphabet,094-987-866-270-06X,2025-10-14,Passive infrared sensor device,GOOGLE LLC,Y02B20/40,"Systems and techniques are provided for sensor device. A sensor device may include a housing, a lens inserted into a first opening of the housing, a metal mask covering a portion of the interior of the lens, a passive infrared (PIR) sensor underneath the lens and the metal mask, and a light pipe around the PIR sensor, the lens, and the metal mask. Part of the light pipe may be positioned above an activation mechanism for a button. An airflow gasket may be around the PIR sensor. A filter circuit "
Alphabet,173-081-072-727-577,2025-10-10,通信设备的节能,GOOGLE INC,Y02D30/70,本发明涉及通信设备的节能。能够与主节点和辅节点以双模式连接性进行操作的用户设备检测UE的电池的低电量状况（2302）。作为响应，所述用户设备阻止UE与SN以DC操作，使得所述UE和MN被配置为以单连接性操作（2304）。
Alphabet,078-917-620-296-83X,2025-10-09,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING TIMERS,GOOGLE LLC,Y02D30/70,"To configure activation of a power saving mode, PSM, in a user equipment UE, a network device determines a timer value for a timer delimiting a period during which the UE to remain active immediately upon receiving the timer value and prior to transitioning to the PSM. The network device transmits the timer value to the UE."
Alphabet,101-557-073-990-560,2025-10-02,COLLABORATIVE DVFS CONTROL FOR A PROCESSING-IN-MEMORY ARCHITECTURE OF A HETEROGENEOUS COMPUTING SYSTEM,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computational instructions/programs encoded on non-transitory computer-readable media, are disclosed to implement collaborative controls for dynamic voltage & frequency scaling (""DVFS"") using an integrated circuit comprising a System-on-Chip (""SoC"") and a memory device coupled to the SoC. The system identifies user-experience criteria for generating an output of a machine-learning (""ML"") model implemented at the integrated circuit and determines a perfo"
Alphabet,019-241-210-546-552,2025-10-02,NON-INVASIVE CACHE NODE POWER REDUCTION,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus for a computing device comprising; a caching subsystem comprising more than one cache nodes and a routing subsystem configured to operate in an intermediate dual hash mode while the caching subsystem modifies a subset of operational cache nodes."
Alphabet,125-986-104-413-536,2025-10-02,"TIEDONSIIRTONOPEUDEN SUHTEEN OPTIMOITU, PALVELUNLAADUN HUOMIOIVA TEHONRAJOITUSJÄRJESTELMÄ",GOOGLE LLC,Y02D10/00,
Alphabet,003-498-669-905-718,2025-07-30,VIRTUALISIERUNG EINES EXTERNEN SPEICHERS ALS LOKAL ZU EINEM MASCHINENLERNBESCHLEUNIGER,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for virtualizing external memory as local to a machine learning accelerator. One ambient computing system comprises: an ambient machine learning engine; a low-power CPU; and an SRAM that is shared among at least the ambient machine learning engine and the low-power CPU; wherein the ambient machine learning engine comprises virtual address logic to translate from virtual addresses generated by the ambi"
Alphabet,004-890-244-251-651,2025-07-08,Large-scale accelerator system energy performance optimization,GOOGLE LLC,Y02D10/00,"A method and system for controlling performance of a workload partitioned among a plurality of accelerator chips of a multi-chip system. One or more processors may receive performance speed data for each of the accelerator chips, obtain a model of the partitioned workload, determine a portion of the workload that is either overworked or underworked based on the model of the partitioned workload and the performance speed data for each of the plurality of accelerator chips, and adjust a performanc"
Alphabet,005-965-372-605-581,2025-08-19,Ultra-wideband power usage optimization,GOOGLE LLC,Y02D30/70,"A computing device may determine, via ultra-wideband ranging, that the computing device is proximate to a second computing device paired with the computing device. The computing device may determine that the second computing device is abie to perform ultra-wideband ranging with a particular set of one or more devices. The computing device may, in response to determining that the computing device is proximate to the second computing device and that the second computing device is able to perform u"
Alphabet,013-288-561-194-122,2025-08-12,Controlling memory frequency based on transaction queue occupancy,GOOGLE LLC,Y02D10/00,"Techniques and apparatuses are described that use transaction queue lengths to alter a clock frequency that controls access to a memory of an electronic device. Techniques include detecting that a transaction queue threshold has been violated, initiating a counter to measure a time duration, determining that the transaction queue threshold continues to be violated for the time duration and, in response, altering the clock frequency that controls access to the memory of the electronic device."
Alphabet,016-591-671-333-841,2025-07-22,"Client-server approach for indoor-outdoor detection of an electronic device, and associated systems and methods",GOOGLE LLC,Y02D30/70,"This document describes a client-server approach for indoor-outdoor detection of an electronic device, and associated systems and methods. A server (104) collects crowdsourced information (140) from devices that detected a plurality of access points. An electronic device (102), performing a wire-less-network scan, detects access points (122) within range and detects sensor data (126) from other sensors (124). The electronic device (102) transmits such information to the server (104). The server "
Alphabet,018-260-991-187-130,2025-08-12,Allocating resources for a machine learning model,GOOGLE LLC,Y02D10/00,"A method for allocating resources for a machine learning model is disclosed. A machine learning model to be executed on a special purpose machine learning model processor is received. A computational data graph is generated from the machine learning model. The computational dataflow graph represents the machine learning model which includes nodes, connector directed edges, and parameter directed edges. The operations of the computational dataflow graph is scheduled and then compiled using a dete"
Alphabet,030-823-325-645-209,2025-06-24,Wake-up batteries for invasive biosensors,DEXCOM INC; VERILY LIFE SCIENCES LLC,Y02E60/50,"Example biosensor devices having wake-up batteries and associated methods are disclosed. One example device includes a biosensor that has a first electrode for insertion into a subcutaneous layer beneath a patient's skin, and a second electrode coupled to the first electrode for insertion into the subcutaneous layer, and a first battery to apply a voltage across the first and second electrodes, the first battery at least partially electrically decoupled from the electrodes. The device also inclu"
Alphabet,032-067-197-984-565,2025-09-02,Wireless charging of a wrist-mounted sensor platform,VERILY LIFE SCIENCES LLC,Y02E60/10,Wearable devices are described herein including a housing and a mount configured to mount a contact surface of the housing to an external surface of a wearer. The wearable devices further include a coil disposed in the housing proximate to the contact surface and at least one sensor disposed on the contact surface and configured to detect one or more properties of the body of the wearer. The wearable devices are powered by a rechargeable battery disposed within the wearable devices. The wearable
Alphabet,033-802-605-447-30X,2025-07-23,NAVIGATIONSABFRAGEN,GOOGLE LLC,Y02D10/00; Y02D10/00,
Alphabet,040-124-686-723-508,2025-09-17,INTEGRIERTE MEHRMODENSCHALTUNGEN MIT AUSGEGLICHENEM ENERGIEVERBRAUCH,GOOGLE LLC,Y02D10/00,
Alphabet,041-242-267-583-479,2025-09-11,UNMANNED AERIAL VEHICLE HOUSING,WING AVIATION LLC,Y02T10/70; Y02T90/14; Y02T10/7072; Y02T90/12,"An apparatus for landing and launching unmanned aerial vehicles (UAVs) includes a landing pad adapted for receiving the UAVs, a track extending from the landing pad and positioned to engage with the UAVs after the UAVs land on the landing pad, and a charging system positioned to charge the UAVs engaged with the track. The track is adapted to guide or carry the UAVs along the track from the landing pad."
Alphabet,047-563-975-700-942,2025-06-12,COLLABORATIVE ENVIRONMENTAL SENSOR NETWORKS FOR INDOOR AIR QUALITY,GOOGLE LLC,Y02B30/70,"Techniques for operating an environmental sensing system are described. In an example, a cloud-based server system receives a first indication that a first type of air pollutant is present within a first structure from a first plurality of indoor air quality (IAQ) sensing devices positioned within the first structure. A second structure within a predefined distance to the first structure is then identified by the server system. The server system then determines that the first type of air polluta"
Alphabet,047-707-138-824-139,2025-08-11,Computer-implemented method for entering a low-power state and the related computing system,GOOGLE LLC,Y02D10/00; Y02D10/00,
Alphabet,060-476-945-989-111,2025-07-17,VIRTUALIZING EXTERNAL MEMORY AS LOCAL TO A MACHINE LEARNING ACCELERATOR,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for virtualizing external memory as local to a machine learning accelerator. One ambient computing system comprises: an ambient machine learning engine; a low-power CPU; and an SRAM that is shared among at least the ambient machine learning engine and the low-power CPU; wherein the ambient machine learning engine comprises virtual address logic to translate from virtual addresses generated by the ambi"
Alphabet,064-158-768-078-609,2025-08-14,EXPLOITING INPUT DATA SPARSITY IN NEURAL NETWORK COMPUTE UNITS,GOOGLE LLC,Y02D10/00; Y02D10/00; Y02D10/00,"A computer-implemented method includes receiving, by a computing device, input activations and determining, by a controller of the computing device, whether each of the input activations has either a zero value or a non-zero value. The method further includes storing, in a memory bank of the computing device, at least one of the input activations. Storing the at least one input activation includes generating an index comprising one or more memory address locations that have input activation valu"
Alphabet,070-959-313-955-609,2025-07-01,"Method, computing device and computer-readable storage medium related to loading state detection for gaming applications",GOOGLE LLC,Y02D10/00,
Alphabet,071-461-156-711-579,2025-09-16,Thermal gradient battery monitoring system and methods,GOOGLE LLC,Y02E60/10,"A battery pack includes a battery, a first temperature sensor configured to provide a first temperature value associated with a temperature of the battery, a heat source disposed proximate to the battery and configured to heat the battery, a second temperature sensor configured to provide a second temperature value associated with a temperature of the heat source, and a control board coupled to the first temperature sensor and the second temperature sensor, wherein the control board is configure"
Alphabet,079-626-996-693-274,2025-06-25,EFFIZIENTES DATENCENTERENERGIEMANAGEMENT AUF BASIS VON RECHENKAPAZITÄT UND FLOTTENMANAGEMENT,GOOGLE LLC,Y02D10/00,"The technology is generally directed to a management framework that uses a predictive feedback control loop to reduce energy consumption of a datacenter. The framework determines how to place a series of jobs or workloads on the available pool of machines in a datacenter. For example, the framework may consider the current workload profile and the workload demand forecast of the datacenter to determine an updated workload profile. The updated workload profile may include a redistribution of the "
Alphabet,089-327-025-738-823,2025-08-01,בקר רמת פרוטוקול לגורם איפוס של מערכת על גבי שבב (soc) וניהול כוח,PROVINO TECH INC; GOOGLE LLC; SHAILENDRA DESAI; MARK PEARCE; AMIT JAIN; RUTUL BHATT; JAYMIN PATEL,Y02D30/00; Y02D30/00,
Alphabet,093-638-463-622-081,2025-08-08,吞吐量优化的服务质量预警功率封顶系统,GOOGLE INC,Y02D10/00,本公开涉及吞吐量优化的服务质量预警功率封顶系统。描述了一种通过动态控制来使功率超额订用服务中的面向吞吐量的作业的中断最小化的方法。该机制以与硬件无关的方式控制功率，并且该策略采用了多阈值方法，可以在功率安全和工作负载影响之间取得平衡。此外，当功率测量不可用时，替代的控制机制可以确保系统正常运行。
Alphabet,104-281-228-872-978,2025-06-26,USER EQUIPMENT SELF-ADAPTIVE CONNECTED MODE DISCONTINUOUS RECEPTION TIMERS,GOOGLE LLC,Y02D30/70,"A user equipment (UE) device (102) in a mobile cellular network (100) implements one or more techniques to adapt Connected Mode Discontinuous Reception (C-DRX) timers for optimizing energy consumption at the UE device. For example, the UE device suspends a C-DRX retransmission timer (430) in response to completing a last Physical Uplink Shared Channel (PUSCH) transmission (310) in a set of scheduled PUSCH transmissions. The UE device enters into a low-power state in response to suspending the C-"
