parent_company,lens_id,date_published,publication_type,patent_status,title,applicants,climate_codes,abstract
Alphabet,120-928-993-695-360,2023-02-28,GRANTED_PATENT,ACTIVE,Gesture-triggered augmented-reality,GOOGLE LLC,Y02D10/00,"A user may routinely wear or hold more than one computing devices. One of the computing devices may be a head-mounted computing-device configured for augmented reality. The head-mounted computing-device may include a camera. While imaging, the camera can consume power and processing resources that diminish a battery of the head-mounted computing device. To improve a battery life and to enhance a user's privacy, imaging of the camera can be deactivated during periods when the user is not interact"
Alphabet,003-951-190-394-621,2024-10-10,PATENT_APPLICATION,PENDING,ENHANCED HANDOVER PROCEDURE FOR SUPPORTING NETWORK ENERGY SAVING,GOOGLE LLC,Y02D30/70; Y02D30/70,"A user equipment receives (509), from a radio access network (RAN) in a serving cell, a measurement configuration for a candidate cell. The UE receives (520), subsequently to the receiving of the measurement configuration and when the measurement configuration is deactivated, an indication of a non-active period in the serving cell. In response to the indication of the non-active period, the UE activates (535 A) the measurement configuration for the candidate cell."
Alphabet,102-443-918-695-127,2025-02-20,PATENT_APPLICATION,PENDING,CLOCK GATE TREE,GOOGLE LLC,Y02D10/00,This document describes systems and techniques for implementing a clock gate tree to save clock power. A root level clock gate receives a clock signal associated with a line of data to be accessed in a data structure. A line level clock gate is associated with the line of data to be accessed in the data structure. A clock gate tree includes multiple clock gates. The clock gate tree receives the clock signal from the root level clock gate and activates a portion of the plurality of clock gates in
Alphabet,072-452-863-932-575,2019-08-13,GRANTED_PATENT,ACTIVE,"Systems, methods, and devices for activity monitoring via a home assistant",GOOGLE LLC,Y02B20/40,"The various implementations described herein include methods, devices, and systems for monitoring activity in a home environment. In one aspect, a method performed at a voice-assistant device includes: (1) while operating in an assistant mode, receiving an occupant voice command to operate in a monitoring mode; (2) in response to the command, transitioning to operating in the monitoring mode; (3) obtaining one or more monitoring criteria; (4) while operating in the monitoring mode, detecting a s"
Alphabet,130-686-000-085-132,2024-08-20,GRANTED_PATENT,ACTIVE,Methods and systems for detecting adverse road conditions using radar,WAYMO LLC,Y02A90/10,Example embodiments relate to techniques for detecting adverse road conditions using radar. A computing device may generate a first radar representation that represents a field of view for a radar unit coupled to a vehicle and during clear weather conditions and store the first radar representation in memory. The computing device may receive radar data from the radar unit during navigation of the vehicle on a road and determine a second radar representation based on the radar data. The computing
Alphabet,157-110-405-365-819,2020-03-03,GRANTED_PATENT,ACTIVE,UAV group charging based on demand for UAV service,WING AVIATION LLC,Y02P90/60; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T90/167; Y04S30/14,"Example embodiments can help to more efficiently charge unmanned aerial vehicles (UAVs) in a plurality of UAVs that provide delivery services. An example method includes: determining demand data indicating demand for item-transport services by the plurality of UAVs during a period of time; determining battery state information for the plurality of UAVs, wherein the battery state information is based at least in part on individual battery state information for each of two or more of the UAVs; bas"
Alphabet,030-715-455-148-042,2025-11-25,GRANTED_PATENT,ACTIVE,Automatic routing through electric vehicle charging stations,GOOGLE LLC,Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16,"To navigate an electric vehicle from a starting location to a destination, a system identifies multiple charging stations between the starting location and the destination and determining a navigation route that requires a least amount of time for the electric vehicle to travel from the starting location to the destination via one or more of the charging stations, including determining a non-linear relationship between an amount of time and an amount of charge the EV receives during the amount o"
Alphabet,110-577-196-520-221,2017-10-12,GRANTED_PATENT,ACTIVE,Controlling an HVAC system during demand response events,GOOGLE LLC,Y02B70/3225; Y04S20/222,"Apparatus, systems, methods, and related computer program products for carrying out a demand response (DR) event via an intelligent, network-connected thermostat associated with a structure. The systems disclosed include an energy management system in operation with an intelligent, network-connected thermostat located at a structure. The thermostat is operable to control an HVAC system. Control during a DR event period may be performed based on an optimal control trajectory of the HVAC system, w"
Alphabet,006-824-295-860-825,2023-08-08,GRANTED_PATENT,ACTIVE,Wi-Fi adaptive beacon skipping for battery-powered devices,GOOGLE LLC,Y02D30/70,"A Wi-Fi chip is configured to operate in a power saving Wi-Fi mode in which the Wi-Fi chip repeatedly checks, at a first time interval, periodic DTIM beacons transmitted at a second time interval by a wireless access point of a Wi-Fi network, wherein the first time interval is longer than the second time interval. Upon receiving a standby message, the Wi-Fi chip, during a predefined time duration, operates in a standby mode in which the Wi-Fi chip checks at a third time interval periodic DTIM be"
Alphabet,073-028-610-303-571,2025-10-16,PATENT_APPLICATION,PENDING,ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing dynamic voltage and/or frequency scaling. One of the methods includes obtaining an input data item; processing the input data item using a data processing pipeline executed on the computing device to generate an output data item, wherein processing the input data item comprises: executing a sequence of one or more pre-processing operations of the data processing pipeline on the input da"
Alphabet,000-903-992-405-526,2025-11-13,PATENT_APPLICATION,PENDING,SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus for a computing device that includes a multi-context processing system that includes multiple processing blocks, in which each processing block is configured to continually process data received from multiple different contexts using buffers, in which each buffer is stored in an associated memory subsystem. The system includes a data processing apparatus configured to execute instructions to perform operations for implementing multiple page managers to manage the "
Alphabet,006-502-985-532-237,2024-04-16,GRANTED_PATENT,ACTIVE,Method of temperature conditioning compute module for cold start,WAYMO LLC,Y02D10/00,"Example embodiments relate to methods of increasing a temperature of a computer module to start the computer at environmental temperatures below a threshold temperature. An example embodiment includes receiving, at one or more computing components thermally coupled to a main computer via a liquid-cooled plate, a set of program instructions. The method can also include running the set of program instructions on at least one computing component. Running the set of program instructions on the compu"
Alphabet,016-682-255-676-814,2025-11-11,GRANTED_PATENT,ACTIVE,Data center balance of plant integrated into fuel cell system design,GOOGLE LLC,Y02B90/10; Y02E60/50,"An energy system may include data center computer equipment, a data center power system configured to simultaneously provide power for operation of the data center equipment and power for cooling the data center equipment, fuel cells configured to provide power to the data center power system, an on-site battery storage configured to provide backup power and power conditioning to the fuel cells, an on-site hydrogen storage to provide fuel to the fuel cells, and an excess heat recovery connection"
Alphabet,147-665-006-321-997,2025-11-06,PATENT_APPLICATION,PENDING,SKIPPING IDLE-MODE DRX IN RELATION TO NTN CELLULAR COMMUNICATION,GOOGLE LLC,Y02D30/70,A method and system for a user equipment device (UE) to help limit or avoid its operation with Idle-mode discontinuous (Idle-mode DRX) service when the UE is engaged in non-terrestrial-network (NTN) cellular communication service. The UE is configured to operate with Idle-mode DRX service for as long as the UE operates in a Radio Resource Configuration (RRC) Idle mode when the UE is engaged in terrestrial cellular communication service. When the UE transitions from an RRC Connected mode to the R
Alphabet,110-645-941-343-109,2025-07-23,GRANTED_PATENT,ACTIVE,VERWALTUNG EINER UE-BEVORZUGTEN KONFIGURATION,GOOGLE LLC,Y02D30/70; Y02D30/70,
Alphabet,093-639-073-363-859,2021-11-23,GRANTED_PATENT,ACTIVE,Compression-loaded printed circuit assembly for solder defect mitigation,GOOGLE LLC,Y02P70/50,The present disclosure provides systems for applying a compression load on at least part of an application specific integrated circuit (“ASIC”) ball grid array (“BGA”) package during the rework or secondary reflow process. The compression-loading assembly may include a top plate and a compression plate. The compression plate may exert a compression load on at least part of the ASIC using one or more compression mechanisms. The compression mechanisms may each include a bolt and a spring. The bolt
Alphabet,189-696-491-467-046,2016-03-29,GRANTED_PATENT,ACTIVE,Mesh network addressing,GOOGLE INC; GOOGLE INC,Y02D30/70,"In embodiments of mesh network addressing for duplicate address detection, an end device of the mesh network can generate an address identifier that includes an address and time-based information associated with the end device, which is attached to a router device for communication in the mesh network. The address identifier is maintained by the router device as a tuple state of the end device. The end device or the router device can initiate an address query requesting that mesh network devices"
Alphabet,179-071-166-480-893,2012-06-12,GRANTED_PATENT,ACTIVE,Voice actions on computing devices,LEBEAU MICHAEL J; JITKOFF JOHN NICHOLAS; GOOGLE INC,Y02D10/00; Y02D10/00,"A computer-implemented method includes receiving spoken input at a computing device from a user of the computing device, the spoken input including a carrier phrase and a subject to which the carrier phrase is directed, providing at least a portion of the spoken input to a server system in audio form for speech-to-text conversion by the server system, the portion including the subject to which the carrier phrase is directed, receiving from the server system instructions for automatically perform"
Alphabet,064-296-414-850-222,2022-09-13,GRANTED_PATENT,ACTIVE,Thermostat control using touch sensor gesture based input,GOOGLE LLC,Y02D10/00,Various embodiments of smart thermostats are presented herein. A smart thermostat can include a thermostat housing defining a rounded front aperture and having a sidewall. The smart thermostat can include a capacitive touch strip that senses a plurality of gestures. The smart thermostat can include an electronic display. The electronic display may be caused to display icons arranged in a graphical arc. The smart thermostat may include a reflective cover positioned such that the electronic displa
Alphabet,082-218-848-341-483,2025-10-23,PATENT_APPLICATION,PENDING,Vehicle Battery Capacity Measurement Using Autonomous Discharge,WING AVIATION LLC,Y02E60/10,"A method includes charging a battery of a vehicle to a charge threshold voltage. The method also includes discharging the battery from the charge threshold voltage to a post-task voltage by performing a travel task using the vehicle. The method additionally includes determining that a battery calibration condition has been met. The method further includes, based on determining that the battery calibration condition has been met, discharging the battery from the post-task voltage to a discharge t"
Alphabet,195-838-603-278-978,2024-02-20,GRANTED_PATENT,ACTIVE,Terminal area operation of UAVs for package delivery system,WING AVIATION LLC,Y02T10/70,A technique for operating unmanned aerial vehicles (UAVs) in a terminal area from which the UAVs are staged includes charging a plurality of the UAVs on charging pads disposed in a staging array at the terminal area. Merchant facilities for preparing packages for delivery by the UAVs are disposed about a periphery of the staging array. The UAVs are relocated under their own propulsion from interior charging pads to peripheral loading pads of the staging array as the peripheral loading pads becom
Alphabet,026-427-948-289-790,2023-12-21,PATENT_APPLICATION,PENDING,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING DISTANCE THRESHOLDS,GOOGLE LLC,Y02D30/70,"While at a first location, a user equipment, UE, (102) connected to a core network (110) via a non-terrestrial network (105), NTN receives (1402) a distance threshold (1402), before the UE enters a power saving mode, PSM. While in the PSM, the UE initiates (1406) the procedure for reporting a current UE location information when a current UE location has exceeded the distance threshold relative to the first location."
Alphabet,191-900-575-734-436,2019-07-16,GRANTED_PATENT,ACTIVE,Adjust transmit power based on touch detection,GOOGLE LLC,Y02D30/70,"Attenuation of a wireless signal, particularly a short range wireless pairing signal, is accommodated immediately and automatically by a device in response to detection of presence of an object. When a user provides input to the device, such as by touching the device with a finger, presence of the finger may interfere with a signal emitted from the device. To accommodate for such interference, the device may immediately increase its transmission power upon detection of the finger, without waitin"
Alphabet,004-413-381-782-334,2020-08-04,GRANTED_PATENT,ACTIVE,Passive infrared sensor device,GOOGLE LLC,Y02B20/40,"Systems and techniques are provided for sensor device. A sensor device may include a housing, a lens inserted into a first opening of the housing, a metal mask covering a portion of the interior of the lens, a passive infrared (PIR) sensor underneath the lens and the metal mask, and a light pipe around the PIR sensor, the lens, and the metal mask. Part of the light pipe may be positioned above an activation mechanism for a button. An airflow gasket may be around the PIR sensor. A filter circuit "
Alphabet,188-012-636-176-025,2024-09-10,GRANTED_PATENT,ACTIVE,Saving power in a communication device,GOOGLE LLC,Y02D30/70,"A user device (UE) capable of operating in dual-mode connectivity (DC) with a master node (MN) and a secondary node (SN) detects a low-power condition of a battery of the UE. In response, the user device prevents the UE from operating in DC with the SN, so that the UE and the MN are configured to operate in single connectivity."
Alphabet,137-830-963-535-181,2023-12-21,PATENT_APPLICATION,PENDING,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING TIMERS,GOOGLE LLC,Y02D30/70,"To configure activation of a power saving mode, PSM, in a user equipment UE (102), a network device determines (1502) a timer value for a timer delimiting a period during which the UE to remain active immediately upon receiving the timer value and prior to transitioning to the PSM. The network device transmits (1503) the timer value to the UE."
Alphabet,191-302-684-428-411,2025-09-12,PATENT_APPLICATION,PENDING,COLLABORATIVE DVFS CONTROL FOR A PROCESSING-IN-MEMORY ARCHITECTURE OF A HETEROGENEOUS COMPUTING SYSTEM,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus, including computational instructions/programs encoded on non-transitory computer-readable media, are disclosed to implement collaborative controls for dynamic voltage & frequency scaling (""DVFS"") using an integrated circuit comprising a System-on-Chip (""SoC"") and a memory device coupled to the SoC. The system identifies user-experience criteria for generating an output of a machine-learning (""ML"") model implemented at the integrated circuit and determines a perfo"
Alphabet,139-226-197-100-876,2025-09-12,PATENT_APPLICATION,PENDING,NON-INVASIVE CACHE NODE POWER REDUCTION,GOOGLE LLC,Y02D10/00,"Methods, systems, and apparatus for a computing device comprising; a caching subsystem comprising more than one cache nodes and a routing subsystem configured to operate in an intermediate dual hash mode while the caching subsystem modifies a subset of operational cache nodes."
Alphabet,039-644-867-597-030,2023-03-07,GRANTED_PATENT,ACTIVE,"Throughput-optimized, quality-of-service aware power capping system",GOOGLE LLC,Y02D10/00,"This disclosure describes a method to minimize disruption for throughput oriented jobs in power oversubscription services with a dynamic control. The mechanism controls power in a hardware-agnostic way, and the policy employs a multi-threshold approach that balances power safety with workload impact. Moreover, an alternative control mechanism ensures proper system operation while power measurements are unavailable."
Alphabet,039-974-309-278-74X,2021-10-01,GRANTED_PATENT,ACTIVE,VIRTUALIZING EXTERNAL MEMORY AS LOCAL TO A MACHINE LEARNING ACCELERATOR,GOOGLE LLC,Y02D10/00,
Alphabet,004-890-244-251-651,2025-07-08,GRANTED_PATENT,ACTIVE,Large-scale accelerator system energy performance optimization,GOOGLE LLC,Y02D10/00,"A method and system for controlling performance of a workload partitioned among a plurality of accelerator chips of a multi-chip system. One or more processors may receive performance speed data for each of the accelerator chips, obtain a model of the partitioned workload, determine a portion of the workload that is either overworked or underworked based on the model of the partitioned workload and the performance speed data for each of the plurality of accelerator chips, and adjust a performanc"
Alphabet,026-271-571-454-128,2024-12-11,GRANTED_PATENT,ACTIVE,ULTRABREITBANDIGE LEISTUNGSNUTZUNGSOPTIMIERUNG,GOOGLE LLC,Y02D30/70,
Alphabet,173-366-336-731-852,2025-03-26,GRANTED_PATENT,ACTIVE,STEUERUNG DER SPEICHERFREQUENZ AUF BASIS DER BELEGUNG VON TRANSAKTIONSWARTESCHLANGEN,GOOGLE LLC,Y02D10/00,
Alphabet,016-591-671-333-841,2025-07-22,GRANTED_PATENT,ACTIVE,"Client-server approach for indoor-outdoor detection of an electronic device, and associated systems and methods",GOOGLE LLC,Y02D30/70,"This document describes a client-server approach for indoor-outdoor detection of an electronic device, and associated systems and methods. A server (104) collects crowdsourced information (140) from devices that detected a plurality of access points. An electronic device (102), performing a wire-less-network scan, detects access points (122) within range and detects sensor data (126) from other sensors (124). The electronic device (102) transmits such information to the server (104). The server "
Alphabet,066-095-175-537-571,2021-10-05,GRANTED_PATENT,ACTIVE,Allocating resources for a machine learning model,GOOGLE LLC,Y02D10/00,"A method for allocating resources for a machine learning model is disclosed. A machine learning model to be executed on a special purpose machine learning model processor is received. A computational data graph is generated from the machine learning model. The computational dataflow graph represents the machine learning model which includes nodes, connector directed edges, and parameter directed edges. The operations of the computational dataflow graph is scheduled and then compiled using a dete"
Alphabet,085-028-622-534-057,2020-12-23,GRANTED_PATENT,ACTIVE,AUFWECKBATTERIEN FÜR INVASIVE BIOSENSOREN,VERILY LIFE SCIENCES LLC,Y02E60/50,
Alphabet,035-482-531-825-576,2019-11-26,GRANTED_PATENT,ACTIVE,Wireless charging of a wrist-mounted sensor platform,VERILY LIFE SCIENCES LLC,Y02E60/10,Wearable devices are described herein including a housing and a mount configured to mount a contact surface of the housing to an external surface of a wearer. The wearable devices further include a coil disposed in the housing proximate to the contact surface and at least one sensor disposed on the contact surface and configured to detect one or more properties of the body of the wearer. The wearable devices are powered by a rechargeable battery disposed within the wearable devices. The wearable
Alphabet,181-200-892-277-54X,2023-10-24,GRANTED_PATENT,ACTIVE,Multi-mode integrated circuits with balanced energy consumption,GOOGLE LLC,Y02D10/00,"Aspects of the disclosure include methods, systems, and apparatus, including computer-readable storage media for multi-mode integrated circuits with balanced energy consumption. A method includes determining, by one or more processors and based at least on a maximum energy threshold for planned multi-mode system having one or more processing units, a respective number of operations that can be performed per clock cycle by the processing units for each operating mode. The system is configured to "
Alphabet,181-094-269-809-931,2022-03-10,GRANTED_PATENT,ACTIVE,Unmanned aerial vehicle housing,WING AVIATION LLC,Y02T10/70; Y02T90/14; Y02T10/7072; Y02T90/12,A modular housing structure for housing a plurality of unmanned aerial vehicles (UAVs) includes a plurality of housing segments and a plurality of landing pads. The plurality of housing segments are shaped to mechanically join together to define an interior of the modular housing structure. The individual housing segments have a common structural shape that repeats when assembled to form the modular housing structure. The plurality of landing pads are positioned within the individual housing seg
Alphabet,071-748-099-103-267,2023-03-02,PATENT_APPLICATION,PENDING,COLLABORATIVE ENVIRONMENTAL SENSOR NETWORKS FOR INDOOR AIR QUALITY,GOOGLE LLC,Y02B30/70,"Techniques for operating an environmental sensing system are described. In an example, a cloud-based server system receives a first indication that a first type of air pollutant is present within a first structure from a first plurality of indoor air quality (IAQ) sensing devices positioned within the first structure. A second structure within a predefined distance to the first structure is then identified by the server system. The server system then determines that the first type of air polluta"
Alphabet,199-796-161-936-824,2021-06-01,GRANTED_PATENT,ACTIVE,Low-power cached ambient computing,GOOGLE LLC,Y02D10/00; Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing a prefetch processing to prepare an ambient computing device to operate in a low-power state without waking a memory device. One of the methods includes performing, by an ambient computing device, a prefetch process that populates a cache with prefetched instructions and data required for the ambient computing device to process inputs to the system while in the low-power state, and ente"
Alphabet,133-529-958-085-78X,2017-11-14,GRANTED_PATENT,ACTIVE,Exploiting input data sparsity in neural network compute units,GOOGLE INC,Y02D10/00; Y02D10/00; Y02D10/00,"A computer-implemented method includes receiving, by a computing device, input activations and determining, by a controller of the computing device, whether each of the input activations has either a zero value or a non-zero value. The method further includes storing, in a memory bank of the computing device, at least one of the input activations. Storing the at least one input activation includes generating an index comprising one or more memory address locations that have input activation valu"
Alphabet,070-959-313-955-609,2025-07-01,GRANTED_PATENT,ACTIVE,"Method, computing device and computer-readable storage medium related to loading state detection for gaming applications",GOOGLE LLC,Y02D10/00,
Alphabet,013-929-149-717-929,2023-06-20,GRANTED_PATENT,ACTIVE,Thermal gradient battery monitoring system and methods,GOOGLE LLC,Y02E60/10,"A battery pack includes a battery, a first temperature sensor configured to provide a first temperature value associated with a temperature of the battery, a heat source disposed proximate to the battery and configured to heat the battery, a second temperature sensor configured to provide a second temperature value associated with a temperature of the heat source, and a control board coupled to the first temperature sensor and the second temperature sensor, wherein the control board is configure"
Alphabet,156-118-617-587-069,2022-05-24,GRANTED_PATENT,ACTIVE,Protocol level control for system on a chip (SOC) agent reset and power management,GOOGLE LLC,Y02D30/00; Y02D30/00,"A system for consistently implementing reset and power management of IP agents on a System on a Chip (SoC). When IP agents undergo a reset, an individual negotiation takes placed between an interconnect and each IP agent over a link. Each IP agent can emerge from reset at its own time schedule, independently of the timing of the other IP agents. The interconnect may be configured as a proxy for any IP agent that is inoperable, including prior to reset, when in a power-down mode, or malfunctionin"
Alphabet,104-281-228-872-978,2025-06-26,PATENT_APPLICATION,PENDING,USER EQUIPMENT SELF-ADAPTIVE CONNECTED MODE DISCONTINUOUS RECEPTION TIMERS,GOOGLE LLC,Y02D30/70,"A user equipment (UE) device (102) in a mobile cellular network (100) implements one or more techniques to adapt Connected Mode Discontinuous Reception (C-DRX) timers for optimizing energy consumption at the UE device. For example, the UE device suspends a C-DRX retransmission timer (430) in response to completing a last Physical Uplink Shared Channel (PUSCH) transmission (310) in a set of scheduled PUSCH transmissions. The UE device enters into a low-power state in response to suspending the C-"
Alphabet,006-546-231-757-370,2020-11-05,PATENT_APPLICATION,PENDING,SUBSTITUTED CYCLOALKYLS AS MODULATORS OF THE INTEGRATED STRESS PATHWAY,CALICO LIFE SCIENCES LLC; ABBVIE INC,Y02A50/30,"Provided herein are compounds, compositions, and methods useful for modulating the integrated stress response (ISR) and for treating related diseases, disorders and conditions."
Alphabet,081-040-998-359-222,2024-09-17,GRANTED_PATENT,ACTIVE,Low-power vision sensing,GOOGLE LLC,Y02D10/00; Y02D30/50; Y02D10/00,"Methods, systems, and apparatus, for performing low-power vision sensing. One computing device includes a vision sensor configured to generate vision sensor data and an ambient computing system configured to repeatedly process the vision sensor data generated by the vision sensor according to a low-power detection process. If a detection is indicated by the low-power detection process, the ambient computing system wakes one or more other components of the computing device to perform a high-power"
Alphabet,128-003-770-171-988,2023-03-01,GRANTED_PATENT,ACTIVE,System-on-chip and method of independent clocking for configuration and status registers,GOOGLE LLC,Y02D10/00,
Alphabet,162-801-996-926-190,2024-03-14,PATENT_APPLICATION,PENDING,SYNTHETIC VOLTAGE SIGNALS,GOOGLE LLC,Y02D10/00; Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for injecting synthetic voltage signals. One of the methods includes initiating, by a processing core, a transition from executing in a low-power state to executing in a high-power state. The device injects a synthetic voltage signal into a voltage feedback line of the power manager to cause the power manager to react sooner to the transition by increasing the current supplied to the processing core. "
